Newcastle City Council Invoices over �250 paid in January 2014,,,,,,,,,,,,
,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,24/01/2014,3663,6126810,Revenue,1KF07,Banqueting Suite,490.53 ,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,10/01/2014,3663,6111810,Revenue,1KF07,Banqueting Suite,274.00 ,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,06/01/2014,3663,6107123,Revenue,1KF04,Staff Restaurant,266.93 ,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,15/01/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6117600,Revenue,1KF07,Banqueting Suite,739.51 ,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,17/01/2014, LEWIS HARVEY LTD,6119727,Revenue,1MK55,Dom Care Family/Carer LD,"2,925.00 ",,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,29/01/2014, REHABILITATION FOR ADDICTED PRISONER,6131515,Revenue,1MP27,DAT Residential Rehab,"2,224.02 ",,,
Children's Services,Invoice,Supplies & Services,20/01/2014, THOMPSONS OF PRUDHOE LTD,5973921,Revenue,1KEKL,Env Impsrb,"3,630.00 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,29/01/2014, THOMPSONS OF PRUDHOE LTD,6131846,Revenue,1KEKL,Env Impsrb,"10,096.60 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014, THOMPSONS OF PRUDHOE LTD,5944528,Revenue,1KEKL,Env Impsrb,990.00 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014, THOMPSONS OF PRUDHOE LTD,5973643,Revenue,1KEKL,Env Impsrb,"1,870.00 ",,,
Environment & Regeneration,Highways                               ,Premises,08/01/2014, THOMPSONS OF PRUDHOE LTD,6106844,Revenue,1KEMC,Highways,584.00 ,,,
HRA,HRA Equalities             ,Supplies & Services,20/01/2014, THOMPSONS OF PRUDHOE LTD,5944800,Revenue,1KEKL,Env Impsrb,"2,090.00 ",,,
HRA,HRA Equalities             ,Supplies & Services,20/01/2014, THOMPSONS OF PRUDHOE LTD,5963588,Revenue,1KEKL,Env Impsrb,770.00 ,,,
