Newcastle City Council Invoices over £250 paid in March 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,21/03/2014,3663,6188417,Revenue,1KF07,Banqueting Suite,434.32 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,28/03/2014,3663,6197057,Revenue,1KF07,Banqueting Suite,441.30 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,11/03/2014,3663,6176187,Revenue,1KF07,Banqueting Suite,267.40 
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/03/2014, REHABILITATION FOR ADDICTED PRISONER,6193800,Revenue,1MP27,DAT Residential Rehab,"2,008.80 "
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,18/03/2014, REHABILITATION FOR ADDICTED PRISONER,6180962,Revenue,1MP27,DAT Residential Rehab,"2,224.02 "
Adult and Culture,Social Services                        ,Supplies & Services,28/03/2014, THOMPSONS OF PRUDHOE LTD,6198454,Revenue,1MW02,Nature's Landscape,329.92 
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/03/2014, THOMPSONS OF PRUDHOE LTD,6165634,Revenue,1KEKL,Env Impsrb,"1,191.60 "
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,24/03/2014, THOMPSONS OF PRUDHOE LTD,6190173,Capital,2N401,Capital General,"19,905.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/03/2014,13 FERGUSONS LANE,6176671,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/03/2014,14 EIGHTH ROW,6176691,Revenue,1MH20,Ind Res Care PD,"9,800.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/03/2014,18 SEA VIEW VILLAS,6176563,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Environment & Regeneration,NS: Asset Man              ,Capital Expenditure,27/03/2014,A&B INDUSTRIAL SERVICES N.E. LTD,6182415,Capital,2FT14,Property Services,"3,697.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,12/03/2014,A&J KEITH LTD,6177653,Revenue,1KBRM,Sub Contractors R & M,"390,673.24 "
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,28/03/2014,A&S LOCKSMITHS,6187644,Revenue,1KL60,Parks,"1,161.90 "
Environment & Regeneration,NS: Asset Man              ,Premises,14/03/2014,A&S LOCKSMITHS,6180583,Revenue,1DF10,Theatre Royal Contribution,395.88 
Environment & Regeneration,NS: Asset Man              ,Premises,05/03/2014,A&S LOCKSMITHS,6171676,Revenue,1V073,Historic Monumnets,585.50 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/03/2014,ABBEYFIELD CASTLE FARM,6193517,Revenue,1MG20,Ind Res Care Elderly,-249.90 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABBEYFIELD CASTLE FARM,6193517,Revenue,1MG20,Ind Res Care Elderly,"1,480.74 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/03/2014,ABBEYFIELD THE GROVE,6193507,Revenue,1MG20,Ind Res Care Elderly,"-2,080.48 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABBEYFIELD THE GROVE,6193507,Revenue,1MG20,Ind Res Care Elderly,"3,785.60 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/03/2014,ABBEYMOOR,6193518,Revenue,1MM10,Ind Nursing Care MH,-315.20 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABBEYMOOR,6193518,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABBEYMOOR,6193518,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABBEYMOOR,6193518,Revenue,1MM20,Ind Res Care MH,"4,000.00 "
Adult and Culture,AS - Learning City         ,Supplies & Services,31/03/2014,ABC AWARDS,6176024,Revenue,1EA15,Newcastle City Learning,323.00 
Adult and Culture,AS - Learning City         ,Supplies & Services,31/03/2014,ABC AWARDS,6176363,Revenue,1EA15,Newcastle City Learning,374.00 
Environment & Regeneration,NS: Asset Man              ,Premises,20/03/2014,ABEL ALARM COMPANY LTD,6187062,Revenue,1KE27,Bereavement Services Overhead,902.00 
Environment & Regeneration,NS: Asset Man              ,Premises,20/03/2014,ABEL ALARM COMPANY LTD,6187063,Revenue,1EP01,Play Service Management,408.00 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/03/2014,ABIGAIL HOUSE,6193519,Revenue,1MG20,Ind Res Care Elderly,"-7,820.05 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/03/2014,ABIGAIL HOUSE,6193519,Revenue,1MG20,Ind Res Care Elderly,"32,690.58 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/03/2014,ABOUT TURN VETERANS SUPPORT SERVICE,6187318,Revenue,1MX10,Community Grants To Vol Orgs,"2,289.51 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/03/2014,ACCEPT CARE,6184676,Revenue,1MK54,Dom Care Own Tenancy LD,-290.96 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/03/2014,ACCEPT CARE,6184676,Revenue,1MK50,Ind Supported Living LD,"1,817.20 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/03/2014,ACCEPT CARE,6184676,Revenue,1MK54,Dom Care Own Tenancy LD,"4,906.44 "
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,27/03/2014,ACCESS INDEPENDENT,6191129,Revenue,1V123,Blue Badge Applications,"1,919.50 "
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,20/03/2014,ACME,6186977,Revenue,1KF08,Gosforth Civic Hall,363.92 
