Newcastle City Council Invoices over £250 paid in April 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,07/04/2014,3663,6202751,Revenue,1KF07,Banqueting Suite,536.50 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,11/04/2014,3663,6207807,Revenue,1KF07,Banqueting Suite,406.58 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,17/04/2014,3663,6217071,Revenue,1KF07,Banqueting Suite,254.23 
Children's Services,Educ SENTASS               ,Employees,07/04/2014, NATIONAL DEAF CHILDRENS SOCIETY,6205817,Revenue,1E+240,SB Hearing Impaired Service,422.50 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08/04/2014,13 FERGUSONS LANE,6206831,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08/04/2014,14 EIGHTH ROW,6206850,Revenue,1MH20,Ind Res Care PD,"9,800.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08/04/2014,18 SEA VIEW VILLAS,6206781,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Chief Executive's,CD - Legal Services              ,Supplies & Services,07/04/2014,1ST TRANSNATIONAL TRANSLATIONS,6200372,Revenue,1FA51,Coroner,299.75 
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,04/04/2014,A S PNEUMATICS,6203203,Revenue,1KENB,Fleet Workshops OH,416.00 
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,02/04/2014,A S PNEUMATICS,6083519,Revenue,1KENB,Fleet Workshops OH,416.00 
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,02/04/2014,A S PNEUMATICS,6172371,Revenue,1KENB,Fleet Workshops OH,416.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,07/04/2014,A&J KEITH LTD,6202317,Revenue,1KVWC,Minor Works Contracts,"4,700.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,11/04/2014,A&J KEITH LTD,6210593,Revenue,1KBRM,Sub Contractors R & M,"336,069.72 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ABBEYFIELD CASTLE FARM,6217864,Revenue,1MG20,Ind Res Care Elderly,-486.00 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABBEYFIELD CASTLE FARM,6217864,Revenue,1MG20,Ind Res Care Elderly,"1,892.80 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ABBEYFIELD THE GROVE,6217855,Revenue,1MG20,Ind Res Care Elderly,"-2,080.48 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABBEYFIELD THE GROVE,6217855,Revenue,1MG20,Ind Res Care Elderly,"3,785.60 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ABBEYMOOR,6217865,Revenue,1MM10,Ind Nursing Care MH,-315.20 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABBEYMOOR,6217865,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABBEYMOOR,6217865,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 "
