Newcastle City Council Invoices over £250 paid in July 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,15/07/2014,3663,6298401,Revenue,1KF07,Banqueting Suite,619.75
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,07/07/2014,3663,6291425,Revenue,1KF07,Banqueting Suite,539.70
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,18/07/2014,3663,6303053,Revenue,1KF07,Banqueting Suite,356.01
Chief Executive's,CD - Communities                 ,Premises,25/07/2014, CARNEIGE BUILDING NEWCASTLE,6290533,Revenue,1KN20,Benwell & Scotswood Ward,227.50
Chief Executive's,CD - Communities                 ,Supplies & Services,25/07/2014, CARNEIGE BUILDING NEWCASTLE,6290533,Revenue,1KN20,Benwell & Scotswood Ward,180.00
Environment & Regeneration,Highways                               ,Premises,09/07/2014, THOMPSONS OF PRUDHOE LTD,6296193,Revenue,1KEMC,Highways,416.22
Environment & Regeneration,Highways                               ,Premises,31/07/2014, THOMPSONS OF PRUDHOE LTD,6318096,Revenue,1KEMC,Highways,821.10
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,08/07/2014, THOMPSONS OF PRUDHOE LTD,6293922,Revenue,1KE23,Sandhills,810.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01/07/2014,14 EIGHTH ROW,6287382,Revenue,1MH20,Ind Res Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29/07/2014,14 EIGHTH ROW,6314760,Revenue,1MH20,Ind Res Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01/07/2014,18 SEA VIEW VILLAS,6287312,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29/07/2014,18 SEA VIEW VILLAS,6314685,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01/07/2014,93 WINGROVE ROAD,6287393,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29/07/2014,93 WINGROVE ROAD,6314771,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,08/07/2014,A&J KEITH LTD,6294999,Revenue,1KVWC,Minor Works Contracts,"1,927.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,08/07/2014,A&J KEITH LTD,6295000,Revenue,1KVWC,Minor Works Contracts,"2,570.31"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,08/07/2014,A&J KEITH LTD,6295001,Revenue,1KVWC,Minor Works Contracts,706.72
