Newcastle City Council Invoices over �250 paid in August 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,04/08/2014,3663,6319268,Revenue,1KF07,Banqueting Suite,250.05
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,04/08/2014,3663,6319269,Revenue,1KF07,Banqueting Suite,395.47
Environment & Regeneration,CW CC Staff Restaurant           ,Supplies & Services,27/08/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6343484,Revenue,1KF04,Staff Restaurant,406.66
Environment & Regeneration,CW CC Staff Restaurant           ,Supplies & Services,04/08/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6320471,Revenue,1KF04,Staff Restaurant,307.57
Environment & Regeneration,Highways                               ,Premises,08/08/2014, THOMPSONS OF PRUDHOE LTD,6324974,Revenue,1KEMC,Highways,410.76
Environment & Regeneration,Highways                               ,Premises,12/08/2014, THOMPSONS OF PRUDHOE LTD,6329258,Revenue,1KEMC,Highways,"1,218.00"
Environment & Regeneration,Highways                               ,Premises,19/08/2014, THOMPSONS OF PRUDHOE LTD,6333123,Revenue,1KEMC,Highways,"1,579.60"
Environment & Regeneration,Highways                               ,Premises,15/08/2014, THOMPSONS OF PRUDHOE LTD,6325351,Revenue,1KEMC,Highways,415.38
Environment & Regeneration,Highways                               ,Premises,01/08/2014, THOMPSONS OF PRUDHOE LTD,6317288,Revenue,1KEMC,Highways,807.24
Environment & Regeneration,Highways                               ,Premises,22/08/2014, THOMPSONS OF PRUDHOE LTD,6334055,Revenue,1KEMC,Highways,811.86
Environment & Regeneration,Highways                               ,Premises,22/08/2014, THOMPSONS OF PRUDHOE LTD,6334080,Revenue,1KEMC,Highways,574.49
Environment & Regeneration,Highways                               ,Premises,22/08/2014, THOMPSONS OF PRUDHOE LTD,6335147,Revenue,1KEMC,Highways,418.32
Environment & Regeneration,Highways                               ,Premises,22/08/2014, THOMPSONS OF PRUDHOE LTD,6335980,Revenue,1KEMC,Highways,288.26
Environment & Regeneration,Highways                               ,Premises,22/08/2014, THOMPSONS OF PRUDHOE LTD,6341355,Revenue,1KEMC,Highways,568.69
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/08/2014,14 EIGHTH ROW,6342668,Revenue,1MH20,Ind Res Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/08/2014,18 SEA VIEW VILLAS,6342598,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,11/08/2014,1ST DINNINGTON SCOUT GROUP,6328573,Revenue,1KN40,Castle Ward,"2,500.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,26/08/2014,93 WINGROVE ROAD,6342677,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,06/08/2014,A&J KEITH LTD,6323911,Revenue,1KVWC,Minor Works Contracts,"2,524.25"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/08/2014,A&J KEITH LTD,6339904,Revenue,1KVWC,Minor Works Contracts,"1,080.08"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/08/2014,A&J KEITH LTD,6339905,Revenue,1KVWC,Minor Works Contracts,"3,760.00"
