Newcastle City Council Invoices over �250 paid in September 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,25/09/2014,3663,6370224,Revenue,1KF07,Banqueting Suite,422.42,
Children's Services,Schools Payment Agency                 ,Premises,17/09/2014, LEWIS HARVEY LTD,6363176,Revenue,1E+12,Broadway Primary,374.28,
Children's Services,Regent Farm First School               ,Premises,18/09/2014, LEWIS HARVEY LTD,6364235,Revenue,1E+23,Regent Farm First,297.63,
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,04/09/2014, THOMPSONS OF PRUDHOE LTD,6337314,Revenue,1KL75,Allottments,294.40,
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,05/09/2014, THOMPSONS OF PRUDHOE LTD,6352626,Revenue,1KL75,Allottments,783.60,
Environment & Regeneration,Highways                               ,Premises,04/09/2014, THOMPSONS OF PRUDHOE LTD,6339851,Revenue,1KEMC,Highways,290.58,
Environment & Regeneration,Highways                               ,Premises,05/09/2014, THOMPSONS OF PRUDHOE LTD,6339778,Revenue,1KEMC,Highways,415.80,
Environment & Regeneration,Highways                               ,Premises,12/09/2014, THOMPSONS OF PRUDHOE LTD,6343545,Revenue,1KEMC,Highways,844.62,
Environment & Regeneration,NS: Asset Man              ,Premises,26/09/2014, THOMPSONS OF PRUDHOE LTD,6361704,Revenue,1KL61,Parks R&M,"5,500.00",
Environment & Regeneration,NS: Asset Man              ,Premises,29/09/2014, THOMPSONS OF PRUDHOE LTD,6361079,Revenue,1KL61,Parks R&M,"2,043.35",
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,02/09/2014, THOMPSONS OF PRUDHOE LTD,6348265,Revenue,1KE23,Sandhills,427.50,
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,22/09/2014, WHITEHOUSE FARM CENTRE,6366551,Revenue,1EEK6,Denton Westerhope Chldrn Cent,"1,206.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,14 EIGHTH ROW,6367665,Revenue,1MH20,Ind Res Care PD,"9,800.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,18 SEA VIEW VILLAS,6367592,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00",
Adult and Culture,Library Admin              ,Supplies & Services,23/09/2014,220 SOFT LIMITED,6367299,Revenue,1EJ15,Marketing & Promotions,"2,250.00",
Children's Services,Schools Payment Agency                 ,Supplies & Services,26/09/2014,2SIMPLE SOFTWARE LTD,6371207,Revenue,1E+29,West Denton Primary,500.00,
Children's Services,Gosforth Park First School             ,Capital Expenditure,12/09/2014,2SIMPLE SOFTWARE LTD,6353598,Capital,2E+16,Gosforth Park First,600.00,
Children's Services,Grange First School                    ,Supplies & Services,10/09/2014,2SIMPLE SOFTWARE LTD,6357429,Revenue,1E+17,Grange First,"1,000.00",
Children's Services,St Anthonys C of E Primary School      ,Supplies & Services,19/09/2014,2SIMPLE SOFTWARE LTD,6364344,Revenue,1E+98,Central Walker Primary,750.00,
Children's Services,Waverley First School                  ,Supplies & Services,24/09/2014,3P LEARNING LTD,6369124,Revenue,1E+28,Waverley Primary,805.00,
Children's Services,Raising Stnds              ,Employees,08/09/2014,4CHILDREN,6349768,Revenue,1EEL2,EYFS Improvement Team,260.00,
