Newcastle City Council Invoices over £250 paid in October 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,03/10/2014,3663,6375645,Revenue,1KF07,Banqueting Suite,614.25
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,31/10/2014,3663,6405958,Revenue,1KF07,Banqueting Suite,265.86
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,17/10/2014,3663,6389163,Revenue,1KF07,Banqueting Suite,424.10
Environment & Regeneration,E&R Fairer Housing            ,Capital Expenditure,03/10/2014,15200276772,6376793,Capital,2N401,Capital General,"2,000.00"
Environment & Regeneration,E&R Fairer Housing            ,Capital Expenditure,03/10/2014,15200276772,6376803,Capital,2N401,Capital General,"2,000.00"
Environment & Regeneration,Highways                               ,Premises,03/10/2014, THOMPSONS OF PRUDHOE LTD,6373524,Revenue,1KEMC,Highways,564.92
Environment & Regeneration,Highways                               ,Premises,03/10/2014, THOMPSONS OF PRUDHOE LTD,6377068,Revenue,1KEMC,Highways,489.06
Environment & Regeneration,Highways                               ,Premises,03/10/2014, THOMPSONS OF PRUDHOE LTD,6377073,Revenue,1KEMC,Highways,"1,101.20"
Environment & Regeneration,Highways                               ,Premises,10/10/2014, THOMPSONS OF PRUDHOE LTD,6368764,Revenue,1KEMC,Highways,277.24
Environment & Regeneration,Highways                               ,Premises,07/10/2014, THOMPSONS OF PRUDHOE LTD,6380569,Revenue,1KEMC,Highways,"5,164.96"
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,29/10/2014, THOMPSONS OF PRUDHOE LTD,6400387,Capital,2ESC1,Children's Social Care,"21,465.00"
Environment & Regeneration,NS: Admin & Finance        ,Premises,21/10/2014, THOMPSONS OF PRUDHOE LTD,6382644,Revenue,1DQ9W,S&M Throckley First School,"2,700.00"
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,03/10/2014, THOMPSONS OF PRUDHOE LTD,6377344,Revenue,1KE14,Waste Disposal General O/H,"3,802.50"
Children's Services,Schools Payment Agency                 ,Supplies & Services,21/10/2014,10 SQUARED LTD,6393747,Revenue,1E+48,Kenton Bar Primary,500.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/10/2014,14 EIGHTH ROW,6394294,Revenue,1MH20,Ind Res Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/10/2014,18 SEA VIEW VILLAS,6394226,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Chief Executive's,CD - Markets                     ,Supplies & Services,20/10/2014,20-20 VISION SYSTEMS LTD,6392770,Revenue,1DR03,Grainger Market,"1,922.15"
Children's Services,Hotspur Primary School                 ,Supplies & Services,06/10/2014,2SIMPLE SOFTWARE LTD,6377329,Revenue,1E+47,Hotspur Primary,"1,100.00"
Children's Services,Schools Payment Agency                 ,Supplies & Services,21/10/2014,2SIMPLE SOFTWARE LTD,6394027,Revenue,1E+84,St. Georges R.C. Primary,800.00
Children's Services,Schools Payment Agency                 ,Supplies & Services,21/10/2014,2SIMPLE SOFTWARE LTD,6394740,Revenue,1E+39,Canning Street Primary,300.00
Children's Services,Schools Payment Agency                 ,Supplies & Services,10/10/2014,2SIMPLE SOFTWARE LTD,6385009,Revenue,1E+54,North Fawdon Primary,300.00
Children's Services,Schools Payment Agency                 ,Supplies & Services,16/10/2014,2SIMPLE SOFTWARE LTD,6390310,Revenue,1E+84,St. Georges R.C. Primary,600.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/10/2014,93 WINGROVE ROAD,6394302,Revenue,1MK34,Shared Lives - Adult LD,330.00
Chief Executive's,Council Tax & NNDR                     ,Supplies & Services,24/10/2014,A BUTLER-BUSINESS,6400029,Revenue,3RC06,Council Tax Refunds Suspense,"3,976.56"
Children's Services,Schools Payment Agency                 ,Premises,16/10/2014,A MCGANN BUILDING CONTRACTORS LTD,6390246,Revenue,1E+77,St. Albans R.C. Primary,"15,875.00"
Children's Services,Schools Payment Agency                 ,Premises,10/10/2014,A&J CRAWFORD CONSTRUCTION,6376752,Revenue,1E+56,St. John's Primary,"4,491.04"
Children's Services,St John's Primary School               ,Premises,03/10/2014,A&J CRAWFORD CONSTRUCTION,6372406,Revenue,1E+56,St. John's Primary,"1,110.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/10/2014,A&J KEITH LTD,6387105,Revenue,1KVWC,Minor Works Contracts,580.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/10/2014,A&J KEITH LTD,6387108,Revenue,1KVWC,Minor Works Contracts,762.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/10/2014,A&J KEITH LTD,6387109,Revenue,1KVWC,Minor Works Contracts,405.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/10/2014,A&J KEITH LTD,6387111,Revenue,1KVWC,Minor Works Contracts,342.00
