Newcastle City Council Invoices over £250 paid in November 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,07/11/2014,3663,6414296,Revenue,1KF07,Banqueting Suite,551.13
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/11/2014,14 EIGHTH ROW,6422997,Revenue,1MH20,Ind Res Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/11/2014,18 SEA VIEW VILLAS,6422917,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Chief Executive's,CD - IT Mgmt & Networks          ,Capital Expenditure,17/11/2014,2SIMPLE SOFTWARE LTD,6421691,Capital,2E+162,Sir Charles Parsons,299.00
Children's Services,Schools Payment Agency                 ,Supplies & Services,10/11/2014,2SIMPLE SOFTWARE LTD,6415825,Revenue,1E+74,English Martyrs R.C. Primary,750.00
Children's Services,Schools Payment Agency                 ,Supplies & Services,18/11/2014,2SIMPLE SOFTWARE LTD,6421710,Revenue,1E+69,West Walker Primary,600.00
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,18/11/2014,A T NERAC LTD,6422667,Revenue,1KBAA,Building Contracts,670.50
Chief Executive's,CD - Corporate Services NOR            ,Supplies & Services,03/11/2014,A W T LTD,6409046,Revenue,1MD68,Legal Fees Care,324.74
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,07/11/2014,A&J KEITH LTD,6415009,Revenue,1KVWC,Minor Works Contracts,255.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/11/2014,A&J KEITH LTD,6415875,Revenue,1KVWC,Minor Works Contracts,490.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6417738,Revenue,1KVWC,Minor Works Contracts,"1,148.65"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6417970,Revenue,1KVWC,Minor Works Contracts,"1,433.37"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418021,Revenue,1KVWC,Minor Works Contracts,305.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418022,Revenue,1KVWC,Minor Works Contracts,324.10
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418024,Revenue,1KVWC,Minor Works Contracts,"1,554.08"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418025,Revenue,1KVWC,Minor Works Contracts,"1,368.27"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418032,Revenue,1KVWC,Minor Works Contracts,715.16
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418034,Revenue,1KVWC,Minor Works Contracts,"1,052.11"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418035,Revenue,1KVWC,Minor Works Contracts,"1,328.59"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/11/2014,A&J KEITH LTD,6418036,Revenue,1KVWC,Minor Works Contracts,305.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419770,Revenue,1KVWC,Minor Works Contracts,"1,026.34"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419771,Revenue,1KVWC,Minor Works Contracts,"1,099.51"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419780,Revenue,1KVWC,Minor Works Contracts,980.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419783,Revenue,1KVWC,Minor Works Contracts,"1,100.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419784,Revenue,1KVWC,Minor Works Contracts,960.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419785,Revenue,1KVWC,Minor Works Contracts,"1,920.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419786,Revenue,1KVWC,Minor Works Contracts,"2,020.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419791,Revenue,1KVWC,Minor Works Contracts,"1,920.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419793,Revenue,1KVWC,Minor Works Contracts,"1,920.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419795,Revenue,1KVWC,Minor Works Contracts,"1,400.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/11/2014,A&J KEITH LTD,6419797,Revenue,1KVWC,Minor Works Contracts,"3,425.00"
