Newcastle City Council Invoices over £250 paid in December 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,04/12/2014,3663,6426640,Revenue,1KF07,Banqueting Suite,483.86
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,05/12/2014,3663,6440832,Revenue,1KF07,Banqueting Suite,931.30
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,31/12/2014,3663,6457030,Revenue,1KF07,Banqueting Suite,252.35
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,31/12/2014,3663,6462639,Revenue,1KF07,Banqueting Suite,262.82
Children's Services,Invoice,Supplies & Services,19/12/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6425635,Revenue,1KF07,Banqueting Suite,462.50
Environment & Regeneration,CW CC Staff Restaurant           ,Supplies & Services,05/12/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6441073,Revenue,1KF04,Staff Restaurant,350.44
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,17/12/2014, THOMPSONS OF PRUDHOE LTD,6430158,Revenue,1KL75,Allottments,367.20
Environment & Regeneration,Highways                               ,Premises,12/12/2014, THOMPSONS OF PRUDHOE LTD,6434821,Revenue,1KEMC,Highways,"2,830.08"
Environment & Regeneration,Highways                               ,Premises,08/12/2014, THOMPSONS OF PRUDHOE LTD,6368867,Revenue,1KEMC,Highways,375.06
Environment & Regeneration,Highways                               ,Premises,08/12/2014, THOMPSONS OF PRUDHOE LTD,6442495,Revenue,1KEMC,Highways,419.16
Environment & Regeneration,Highways                               ,Premises,08/12/2014, THOMPSONS OF PRUDHOE LTD,6442497,Revenue,1KEMC,Highways,288.55
Environment & Regeneration,Highways                               ,Premises,24/12/2014, THOMPSONS OF PRUDHOE LTD,6444593,Revenue,1KEMC,Highways,"3,353.44"
Environment & Regeneration,Highways                               ,Premises,19/12/2014, THOMPSONS OF PRUDHOE LTD,6438591,Revenue,1KEMC,Highways,"3,619.68"
Environment & Regeneration,Highways                               ,Premises,19/12/2014, THOMPSONS OF PRUDHOE LTD,6455293,Revenue,1KEMC,Highways,421.26
Environment & Regeneration,Highways                               ,Premises,19/12/2014, THOMPSONS OF PRUDHOE LTD,6455294,Revenue,1KEMC,Highways,285.65
Environment & Regeneration,NS: Admin & Finance        ,Premises,15/12/2014, THOMPSONS OF PRUDHOE LTD,6433894,Revenue,1DQ9W,S&M Throckley First School,"1,200.00"
Environment & Regeneration,NS: Admin & Finance        ,Premises,24/12/2014, THOMPSONS OF PRUDHOE LTD,6449673,Revenue,1DQ9W,S&M Throckley First School,"1,500.00"
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,02/12/2014, THOMPSONS OF PRUDHOE LTD,6436278,Revenue,1KE23,Sandhills,"2,070.00"
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,10/12/2014, THOMPSONS OF PRUDHOE LTD,6446282,Revenue,1KE23,Sandhills,450.00
Children's Services,Hawthorn Primary School                ,Supplies & Services,19/12/2014, WHITEHOUSE FARM CENTRE,6453574,Revenue,1E+45,Hawthorn Primary,370.95
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/12/2014,14 EIGHTH ROW,6450743,Revenue,1MH20,Residential Care PD,"9,800.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/12/2014,18 SEA VIEW VILLAS,6450673,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00"
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,24/12/2014,1ST DINNINGTON SCOUT GROUP,6460148,Revenue,1KN40,Castle Ward,450.00
Children's Services,Mountfield Primary School              ,Supplies & Services,04/12/2014,2SIMPLE SOFTWARE LTD,6438622,Revenue,1E+53,Mountfield Primary,600.00
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/12/2014,A & R GROUNDWORKS,6434920,Revenue,1KVWC,Minor Works Contracts,"5,382.25"
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/12/2014,A&J KEITH LTD,6444592,Revenue,1KBRM,Sub Contractors R & M,"122,586.41"
Environment & Regeneration,NS: Asset Man              ,Premises,22/12/2014,A&S LOCKSMITHS,6452298,Revenue,1V073,Historic Monumnets,263.86
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1KEMC,Highways,123.88
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1KENB,Fleet Workshops OH,247.97
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1MC05,Slatyford Lane Childrens Unit,124.10
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1V300,Green Travel office,620.04
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1MB21,Social Work Team East,620.05
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1MB23,Social Work Team West,247.98
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1EJ36,Library Transport,124.10
Environment & Regeneration,NS: City Transport         ,Supplies & Services,17/12/2014,AA BUSINESS SERVICES,6452164,Revenue,1KENA,Fleet OH,123.88
Chief Executive's,CD-Communications and Marketing  ,Supplies & Services,08/12/2014,AA GLOBAL LANGUAGES SERVICES LTD,6442640,Revenue,1FT08,Translation Unit,334.00
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/12/2014,AAA CHEMICALS LTD,6428963,Revenue,3KES1,Fleetmaster Stores Account,484.00
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/12/2014,ABBEYFIELD CASTLE FARM,6436297,Revenue,1MG20,Residential Care OP,-991.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/12/2014,ABBEYFIELD CASTLE FARM,6436297,Revenue,1MG20,Residential Care OP,"3,938.56"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/12/2014,ABBEYFIELD THE GROVE,6436288,Revenue,1MG20,Residential Care OP,"-2,963.36"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/12/2014,ABBEYFIELD THE GROVE,6436288,Revenue,1MG20,Residential Care OP,"3,938.56"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/12/2014,ABBEYMOOR,6436298,Revenue,1MM10,Nursing Care MH,-794.40
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/12/2014,ABBEYMOOR,6436298,Revenue,1MM10,Nursing Care MH,"4,021.12"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/12/2014,ABBEYMOOR,6436298,Revenue,1MM20,Residential Care MH,"8,000.00"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/12/2014,ABIGAIL HOUSE,6436299,Revenue,1MG20,Residential Care OP,"-18,476.59"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/12/2014,ABIGAIL HOUSE,6436299,Revenue,1MG20,Residential Care OP,"74,036.82"
